mistreat	0000121
quiver	0000733 marked
redo	0000474
rebellious	0001210
headlong	0000729
garden-variety	0000000
predict	0008826
saying	0104013
run something by someone	0100013
PRODUCTION	0040876
in the case	0157346
left out	0186100 marked
poultry	0002485
turn around	0094098
deliberately	0005555
side street	0057971
hammer home	0004240 marked
irresistible	0001845 marked
Well, as a matter of fact	0000000
glandular	0000106
beadwork	0000000
delusive	0000023
application	0014911
milestone	0001285
hardworking	0000900 marked
outburst	0001006
droppings	0000539 marked
mauve	0000383 marked
phase in	0013809
comprehend	0002248
kneecap	0000228
social fabric	0008504
carpool (car pool (noun), car-pool (verb))	0000000 marked
tidiness	0000066
ship	0025981 marked
jab	0000672 marked
shin	0000782
hold/have a degree	0000000 marked
abashed	0000000
jag	0000000
start (something) over	0000000 marked
catface	0000000
humbling	0000517
jam	0004229
modicum	0000365
annual	0030035
exclusive	0007818
jar	0004273
gentle	0008084
testify	0004843
epitome of creation	0000610
extracurricular	0000890 marked
goodness	0004894
reef	0002202
jaw	0004975
get up	0530141 marked
reed	0008052 marked
marquee	0000889 marked
revamping	0000368 marked
reek	0000303 marked
gross revenue	0008097
demand	0026153
reel	0002003
acquiesce	0000271 marked
auspice	0000000
gently	0012767
subjunctive	0000166
conceptualize	0000449
hereinafter	0000488 marked
scorch	0000205
unaccounted	0000363 marked
blatantly	0000653
annually	0007247 marked
accuse	0001951
unimpeded	0000301
visceral	0000881
dubiously	0000188 marked
accentuate	0000467
frequently	0021308
espouse	0000443
acquire	0005717
ligament	0000647
visionary	0001868
worth	0042166
fertile	0002559
itchy	0000588
openness	0002743
walk the walk	0049583 marked
small-scale	0000000
spreadsheet	0000737
be about	1135722
the way to go	0392126 marked
tall order	0021728 marked
recreational drug	0003926 marked
abstruse	0000110
detection	0003701
shear	0000987
obfuscate	0000080 marked
outweigh	0001045
worn out	0009238 marked
strenuously	0000365 marked
troop surge	0003570 marked
intolerance	0001449
setsquare	0000000
wrinkle	0000931
make off	0304479 marked
whether or not	0012498
wrinkly	0000083
incautious	0000000
knell	0000213
supervise	0001150
How (and Why) SpaceX Will Colonize Mars	0000000
fulsome	0000077
fabulous	0004116
derision	0000443
solace	0001297
in the same way	0234323
sheepishly	0000552
chopper	0001311
liquidity	0000681
occasional	0008494 marked
indiscreet	0000114
challenging	0009437 marked
smugly	0000288 marked
treacherous	0001301
debate	0035371
boisterously	0000041
curveball	0000000 marked
either	0092921
unkindly	0000109
vulnerable	0010925
handicaps,	0000000
preach	0001562
jet	0007066
recollection	0001461
subjugate	0000121
helpful	0010674
deplete	0000338
recurrent	0001427
octogenarian	0000171
worry	0028608
music education	0107773
egregious	0000959 marked
fossilise	0000000
order in	0094124
submersible	0000361
in clover	0000550
significant	0061762
arbitration	0002010
delicious	0005384
rein	0001337 marked
debase	0000073
italicize	0000014 marked
snap back	0005335
nonpareil	0000052
recurse	0000000
gladly	0001303 marked
assassinate	0000575 marked
thunderstorm	0000699
hornet	0000156 marked
martyrdom	0000749
shoo	0000284 marked
unlawful	0000803
to put it simply	0069567
Scripture	0001286
abstain	0000441
spastic	0000183 marked
self-compassion	0000000
attract	0008317
description	0012521
cautious	0004577
renounce	0000649
dissipative	0000000
recession	0009335
crouch	0000713
malicious	0000900
quicklime	0000000
vigilance	0000859 marked
bench press	0010309
feverish	0000756
mantle	0001703
hence	0008795
providing that	0022336
outrageous	0003717
shoe	0006935 marked
Well, how to put it in the right words.	0000000 marked
molestation	0000741
outage	0000365 marked
unto	0001607
inaction	0000761
take-away	0000000
geld	0000005 marked
boreal	0000279
sought-after	0000000
chrysalis	0000257
frown	0001550
hottie	0000000 marked
clarification	0001158
sing-song	0000000
grimy	0000686
tribal	0007421
Hoping to hear back from you soon	0017421
suddenly	0044801
sibling	0001928
grind	0002098
discomfort	0003139
guidance	0007743
ask for trouble	0038115 marked
smidge	0000043
tactless	0000063
staff policy	0054385
delicate	0007612
simpleton	0000000
fancy	0006407
light-pink	0000000
rebel	0004079
bounce	0003012
judiciously	0000277
tissue	0009846
excruciate	0000000
personally speaking	0012882 marked
carpenter	0003573 marked
proficiency	0001690
in the long run	0103714 marked
wide-eyed	0000000
nostril	0000364
we must acknowledge	0008298
ruffled	0000846
gent	0000273
largely	0023039
drudgery	0000344
grime	0000515
bollard	0000016 marked
runneth	0000000
incline	0000833
in the course	0150915
severely	0005207
feint	0000133
rend	0000117
dizzily	0000096
assertiveness	0000576
designate	0001043
canvas	0007014
understatement	0000897 marked
invasive	0001895 marked
buzzer	0000764
calculable	0000000
captivated	0000835
violet	0003233
hollow	0004623
perpetuating	0000488
get away	0206770
epic	0003417
unequivocal	0000641
in a daze	0000523 marked
collapsing	0001690
unrequited	0000244 marked
rely	0009941
autotroph	0000000
colour gamut	0000553
inconsiderate	0000157 marked
waist	0006315
precariously	0000558
wickedly	0000296
fathomable	0000009 marked
grill	0005427
lead to	0059304
vindicate	0000230
ultimate decision	0013040 marked
purely	0004856
reps	0001749
no one the wiser	0001180 marked
we're through	0000000
guard	0027808
harry	0023818
settle	0010046
harsh	0007277
net income	0017526
sunburn	0000477 marked
powerfully	0001304
vehicle	0017249
pressing	0007061
bleak	0002414
cushion	0002105
hassle	0000954
bilateral	0003266
toilet bowl	0005927
plateau	0001952
pass-by	0000000
shatteringly	0000000
holdover	0000000
align with	0001179 marked
hamstring	0000853
levity	0000189
stress	0024467
mischief	0001132
consolation	0001350
chandelier	0000987 marked
under the weather	0024731 marked
regretfully	0000235
tailpipe	0000206 marked
sacredness	0000210 marked
superfluous	0000604
inane	0000296 marked
instantaneously	0000466 marked
appreciable	0000353
apostate	0000116
pick up	0038393
waive	0000571
onward	0001133
cloze	0000042
I thought you might be interested to hear about the special offer for our existing customers.	0000000
disquiet	0000170
addictive	0001512
countertop	0000611
Hangin' tough	0000000
inversely	0000408
spotless	0000605
be-in	0000000
grounding	0000928
dairy	0003969
Defence	0000345
persevere	0000384
giggle	0001181
catch on	0027507
shut	0024351
attend a meeting	0013667
mature	0006594
hook up	0007992
wrapper	0000745
hold back	0064805
influence	0035051
obscurity	0000965 marked
unsuitable	0000562 marked
buy back	0056494
shun	0000712
totally	0019522
self-deprecation	0000000 marked
crackpot	0000218 marked
sedative	0000313
tenements	0000317
through thick and thin	0021742
temporarily	0004666
get in	0530141
germ	0001009
entitlement	0001940 marked
humidify	0000000
domesticity	0000372
denizen	0000082 marked
persuasion	0001500
glimpse	0005371
report card	0027295 marked
resin	0000901
affluence	0000738 marked
unfazed	0000419
omit	0000770 marked
autopsy	0002100
cloth	0007913
erroneous	0001029 marked
limitation	0002639
terrify	0000179
on a regular basis	0028528
awaken	0000980
inconsolably	0000000
downplay	0000667
footing	0001838 marked
jot	0000385
strangle	0000588
highlight	0004368
adjective	0000726
explicit cast	0005636
opportunistic	0000713
joy	0013433
thought-provoking	0000000
hide in plain sight	0012201
sheer	0006477
sheen	0001446
it must have been about	0178206
denouement	0000249
rinse	0002150 marked
colosseum	0000155
aspect ratio	0008304
comply	0003759
adherence	0001825 marked
carry on with	0029386
differ	0006785
sociability	0000330
witty remark	0001481
seat belt	0011742
nervous breakdown	0004174
affiliate	0001804
maroon	0000794
petite	0001219
roll-up	0000000
spread out	0028873
plane	0025775
equivalent	0010069
howler	0000191
momentary	0001123
hypocritical	0000783 marked
sensational	0001546
asterisk	0000340 marked
wedge	0002704 marked
vicariously	0000299
perpetual	0001935
plague	0002945 marked
through and through	0392727 marked
fascinate	0000238
percipient	0000000
mind-bogglingly	0000000 marked
humidity	0002120
rubbish	0000723
resettlement	0000627
afterwards	0004205
come across	0120938
pothole	0000297 marked
swimming trunks	0002041
adequately	0003794
quality control	0047274
ornate	0001406
wrongly	0001200 marked
narrowly	0002211
Shopper	0001014
take a dump	0004521
accurately	0005388
astonishing	0003210 marked
conduct negotiations	0012464
defiantly	0000675
transient	0001387
unimaginable	0001097
plant	0036726
a bit of	0074537
teeter	0000520 marked
expound	0000188 marked
homeland	0006446
readiness	0002666
eat out	0040111 marked
dainty	0000563 marked
civic	0007400
on the ball	0037933
lookouts	0000161
revulsion,	0000000
underway	0002794
civil	0039400
adjure	0000000
subsequent	0010560
gauntlet	0000568
indicate	0017278
living costs	0047198
plummet	0000575
on the whole	0103786
contain	0012944
founder	0009228
punctuate	0000249
beamer	0000000 marked
embroidery	0000729
in general terms	0066429
applicant	0001358
dextrous	0000016
chimed	0000619
tending	0001540
holler	0000555
dissatisfaction	0002140
pompous	0000522
incompatibility	0000320
gifted	0011189
fixation	0000986 marked
stigmatize	0000000 marked
decry	0000325
somewhat	0020090
validity	0006783 marked
shrinkage	0000332
look out	0260017
widower	0000529
I'm afraid you forgot to attach the report.	0000000
precede	0000583
stamina	0000953
jut	0000247
coldhearted	0000000
site supervisor	0005134
needless	0001704
cymbals	0000184
disillusion	0000153
appeal court	0017538
holiness	0000647
humorous	0001536
vehement	0000333
horticulture	0000397
current affairs	0018697
detention	0003125
commander-in-chief	0000000 marked
differentiate	0001760
overhead compartment	0002522
defamation	0000466
frazzle	0000027 marked
unsettling	0001679
munch	0000723
prospective	0004617
bashing	0001002
disadvantage	0002301
detachment	0001247
plaster	0002287 marked
death toll	0005850 marked
slingshot	0000266 marked
mop up	0001058
typewrite	0000000
grown-up	0000000 marked
rigging	0000654 marked
dishonest	0001025
hedge bets	0002130
corporal punishment	0001196 marked
splay	0000085
anxiety	0013763 marked
think tank	0011969 marked
adjust	0006722
immunization	0000623
I am familiar with	0025602
ham-handed	0000000
vigorous	0003483 marked
lucid	0000708 marked
party	0090204 marked
vaguely	0003060
however	0151288
work through	0329252
religious education	0048242
lairy	0000000 marked
parity	0001117
goose	0002714
compel	0000994
depress	0000375
riddle	0001063
gawky	0000141
related	0036497
decor	0001600
candid	0001698 marked
disruptive	0002276
smithereen	0000004
demerit	0000000
diffident	0000143
lump	0002834
tenderness	0001309
unacceptable	0003216
cheer up!	0000000
shackle	0000119
hyaline	0000000
coercion	0001768
rabble rouser	0000000
tyrant	0000767
parse	0000241
salt cellar	0002106
trajectory	0002199
breed	0003892
hoodie	0000000
tie down	0014039
fragrance	0001845
appraise	0000284
for the sake	0009116
unwieldy	0000593
cheque	0000061
realm	0006303
developer	0003777
lull	0000894
appealing	0005543 marked
prompt	0002568
merger	0003767
subset	0000985
elaborate	0007032
crowd	0027469
cornea	0000308
repose	0000481
candor	0000925
causally	0000129
compulsive	0001133
output	0006979
fatigue	0004964
knead	0000541
inactive	0000894 marked
steerage	0000132
set up	0148821
out-of-body experience	0000000
costume	0003929
crown	0005003
sentence	0012395
balance sheet	0012608
faithfully	0001035
show-off	0000000
hallway	0007731
baton	0002301
vain	0002482
ordinary	0015335
youngster	0001434
hella	0000000
pulchritudinous	0000000
lung	0004548
savant	0000000
rudolfensis	0000000
nuclear family	0036265
so far	0143088
puff up	0002083
flotation	0000265
mutual interest	0011892
proportion	0007829
staggering.	0000000
cogitate	0000010
signpost	0000155
weariness	0000628
pursuit	0006982
stupor	0000379
elate	0000009
it's up to	0000000
lugubrious	0000140
ruthless	0001687
stand out	0056181
lure	0004180
wake-up call	0000000
totes	0000134
composed	0006619
prejudice	0003552
dissolve	0002929
unanticipated	0000615 marked
urgent	0004475
bundle	0002857
hold negotiations	0012464
nuzzle	0000100
unsound	0000299
affordable	0005046
string together	0009165
trestle	0000274
scalene	0000000
break	0067794
skewer	0000448
laugh your head off	0018488
readmit	0000022
predominate	0000451
fluency	0001264
expressly	0000898 marked
willingness	0006690
indirectly	0002938
vogue	0000884
gypsum	0000334
watch your step	0052415
respectful	0002109
all for naught	0000405
overmuch	0000000
condescend	0000064
cast light	0020733
transitory	0000418
humblebrag	0000000
in so doing	0146745
meant to be given	0036865
full-fledged	0000000 marked
sigh	0004400
debatable	0000542
standout	0000884
lament	0001107
stroke of luck	0008560
outrage	0003893
wuss	0000000
cotton	0011060
decouple	0000000 marked
fashionista	0000000 marked
under the surface	0035923
scramble	0001932
sift	0000941 marked
pattern-matching	0000000
split	0014265 marked
demonize	0000282
kneed	0000041
immerse	0000455
helix	0000300
coercive	0001155 marked
sardonic	0000443 marked
lust	0002414
directly	0035507
thin out	0023121 marked
kneel	0000887
coplanar	0000000 marked
level	0087343
disruption	0002320
heat up	0045754
stick out	0019278 marked
sordid	0000601
interoperability	0000000
magnanimous	0000228 marked
lever	0001892
luminary	0000085 marked
lush	0003059
establish	0015200
deter	0001970
lurk	0000500
switch off	0011070 marked
confide	0000492
proclaim	0001239
take breath away	0024505 marked
superabundance	0000000 marked
focused	0023209
vamp	0000217 marked
bunch	0012434
jolt	0001424
jeopardize	0001248
it can be concluded that	0012657
predominant	0001224
dole out	0008470
break up	0067794 marked
cheroot	0000047 marked
recipe	0008634
mini-skirt	0000000
decent	0007259
cornstarch	0000999
lagniappe	0000000
jaw dropping	0004975
total	0056164 marked
niece	0001940 marked
passerby	0000276 marked
come off	0284722
school psychologist	0006555
astounding	0001577 marked
blessing in disguise	0002172 marked
viable	0005082
standoffish	0000090 marked
consumer	0020188
smoulder	0000005
harmoniously	0000193
cripple	0000915
auspicious	0000368
social	0140617
prosthetic	0001125
raised	0040816
cross	0019005
come back	0284722 marked
demanding	0008360
pool cue	0002993 marked
fall behind	0061449
drill	0005323
elicite	0000000
pitfall	0000212
honeypot	0000000 marked
corollary	0000649 marked
conjure	0000915
acknowledge	0008298
grow smaller	0027861
lobby	0008220
ameliorate	0000381
equipoise	0000027
spatially	0000466
advance a proposal	0015785
decrepit	0000575
descriptive	0003363
overthrow	0001749 marked
hereditary	0000833
inflict	0001094
worthwhile	0002819
from my perspective	0023766 marked
stumble	0001543
epoch-making	0000000
lineage	0001592
cunning	0001057 marked
elbow	0005399
ensnare	0000073
pinafore	0000093
vary	0008068
I would like to apply my skills in your company	0018346
ledge	0001911
insensitive	0001164
intercourse	0002932
decency	0001436 marked
respondent	0002145
confidential talks	0002806
transgress	0000120
get rid of	0010257
sequencing	0001006
turn on	0094098
improperly	0001242
